IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.38.18,443,443,true,FRA,Europe,Frankfurt,272,5.27
34.116.206.140,443,443,true,FRA,Europe,Frankfurt,270,5.27
34.116.191.142,443,443,true,FRA,Europe,Frankfurt,271,5.27
34.118.69.139,443,443,true,FRA,Europe,Frankfurt,271,5.26
34.91.149.210,443,443,true,FRA,Europe,Frankfurt,283,5.26
34.159.158.159,443,443,true,FRA,Europe,Frankfurt,271,5.25
34.118.112.23,443,443,true,FRA,Europe,Frankfurt,291,5.25
34.118.127.195,443,443,true,FRA,Europe,Frankfurt,284,5.25
34.154.204.166,443,443,true,FRA,Europe,Frankfurt,279,5.24
34.65.158.214,443,443,true,FRA,Europe,Frankfurt,264,5.24
34.65.192.38,443,443,true,FRA,Europe,Frankfurt,252,5.23
34.65.185.49,443,443,true,FRA,Europe,Frankfurt,250,5.22
34.65.189.218,443,443,true,FRA,Europe,Frankfurt,266,5.21
34.65.152.58,443,443,true,FRA,Europe,Frankfurt,262,5.21
34.154.253.152,443,443,true,FRA,Europe,Frankfurt,262,5.21
34.65.113.46,443,443,true,FRA,Europe,Frankfurt,263,5.20
34.65.96.247,443,443,true,FRA,Europe,Frankfurt,268,5.19
34.116.201.167,443,443,true,FRA,Europe,Frankfurt,365,5.19
34.154.69.105,443,443,true,FRA,Europe,Frankfurt,262,5.19
34.159.126.204,443,443,true,FRA,Europe,Frankfurt,252,5.19
34.65.152.58,443,443,true,FRA,Europe,Frankfurt,258,5.19
34.65.113.46,443,443,true,FRA,Europe,Frankfurt,269,5.19
34.65.146.53,443,443,true,FRA,Europe,Frankfurt,273,5.18
34.65.192.38,443,443,true,FRA,Europe,Frankfurt,251,5.18
34.118.19.212,443,443,true,FRA,Europe,Frankfurt,282,5.18
34.118.123.17,443,443,true,FRA,Europe,Frankfurt,280,5.18
34.159.49.76,443,443,true,FRA,Europe,Frankfurt,252,5.17
34.118.68.169,443,443,true,FRA,Europe,Frankfurt,282,5.17
34.118.49.212,443,443,true,FRA,Europe,Frankfurt,272,5.17
34.118.31.147,443,443,true,FRA,Europe,Frankfurt,276,5.17
34.116.147.55,443,443,true,FRA,Europe,Frankfurt,271,5.15
34.159.230.29,443,443,true,FRA,Europe,Frankfurt,261,5.15
34.65.96.247,443,443,true,FRA,Europe,Frankfurt,253,5.15
